name,url,author,publisher,date,price,rate,comment
海底两万里,https://book.douban.com/subject/1085470/,[法国] 儒尔·凡尔纳 , 译林出版社 , 2002-9 , 19.50元,8.4,你听说过鹦鹉螺号吗？
孤独六讲,https://book.douban.com/subject/4124727/,蒋勋 , 广西师范大学出版社 , 2009-10-1 , 36.00元,8.1,作为一种美学的孤独
步步惊心,https://book.douban.com/subject/1812439/,桐华 , 民族出版社 , 2006-6 , 25.00元,8.1,现世太苦，不如穿越回去从头来过
月亮忘記了,https://book.douban.com/subject/1358873/,幾米 , 格林 , 2000-2-1 , NT$ 299,8.6,月明星稀的晚上，看不见的，看见了
此间的少年,https://book.douban.com/subject/1020459/,江南 , 华文出版社 , 2004-1 , 25.00元,8.4,象牙塔里的金庸群侠
菊与刀,https://book.douban.com/subject/1022238/,（美）鲁思・本尼迪克特 , 商务印书馆 , 1990-6 , 16.00,8.2,复杂矛盾的日本民族
你今天真好看,https://book.douban.com/subject/26602392/,[美]莉兹•克里莫 ,天津人民出版社 , 2015-8 , 39.00元,8.7,呆萌可爱的动物段子手
尘埃落定,https://book.douban.com/subject/1080309/,阿来 , 人民文学出版社 , 1998-3-1 , 22.0,8.4,一个傻子的土司家族传奇
查令十字街84号,https://book.douban.com/subject/1316648/,[美] 海莲·汉芙 , 译林出版社 , 2005-05-01 , 18.00元,8.3,文艺青年的爱情地标
流浪地球,https://book.douban.com/subject/3266609/,刘慈欣 , 湖北长江出版集团，长江文艺出版社 , 2008-11 , 28.00元,8.6,刘慈欣获中国科幻银河奖的中短篇小说集
球状闪电,https://book.douban.com/subject/1192090/,刘慈欣 , 四川科学技术出版社 , 2005-6 , 22.00元,8.7,量子之外，没有真相
那些回不去的年少时光,https://book.douban.com/subject/4231381/,桐华 , 江苏文艺出版社 , 2010-01 , 23.80元,8.4,所有你曾热爱却正在遗忘的人和事
荆棘鸟,https://book.douban.com/subject/1086249/,[澳] 考琳·麦卡洛 , 译林出版社 , 1998-7 , 28.00元,8.6,澳洲乱世情
金锁记,https://book.douban.com/subject/3017857/,张爱玲 , 哈尔滨出版社 , 2005-6 , 13.5元,8.5,曹七巧就像希克厉，一个扭曲的英雄
哭泣的骆驼,https://book.douban.com/subject/1029111/,三毛 , 哈尔滨出版社 , 2003-6 , 15.80元,8.9,沙漠中寻常的生与死
一個人住第5年,https://book.douban.com/subject/1346815/,高木直子 , 大田 , 2004-12-1 , NT$220,8.4,独居生活之乐
悲惨世界（上中下）,https://book.douban.com/subject/1205054/,[法] 雨果 , 人民文学出版社 , 1992-6 , 66.00元,8.9,现实主义与浪漫主义的至高杰作
寻路中国,https://book.douban.com/subject/5414391/,[美] 彼得·海斯勒 , 上海译文出版社 , 2011-1 , 33.00元,9.0,中国在路上，非虚构写作所能达到的高度
常识,https://book.douban.com/subject/3344676/,梁文道 , 广西师范大学出版社 , 2009-1 , 38.00,8.1,献给这个常识稀缺的时代
富爸爸，穷爸爸,https://book.douban.com/subject/1033778/,（美）罗伯特・T・清崎 , 世界图书出版公司 , 2000-09 , 18.80,8.2,人穷穷观念，人富钱生钱
史蒂夫·乔布斯传,https://book.douban.com/subject/6798611/,[美] 沃尔特·艾萨克森 , 中信出版社 , 2011-10-24 , 68.00元,8.7,完美主义者的最高形态
飞鸟集,https://book.douban.com/subject/1058661/,[印] 罗宾德拉纳德·泰戈尔 , 哈尔滨出版社 , 2004-6 , 16.80元,8.9,淡泊，超脱
雷雨,https://book.douban.com/subject/1013416/,曹禺 , 人民文学出版社 , 1999-05 , 9.20,8.6,人的心都靠不住，我并不是说人坏，我就是恨人性太弱，太容易变了
水浒传（全二册）,https://book.douban.com/subject/1008357/,[明] 施耐庵 , 人民文学出版社 , 1997-1 , 50.60元,8.6,风风火火闯九州
海贼王,https://book.douban.com/subject/1474773/,尾田荣一郎 , 浙江人民美术出版社 , 2007-11 , 7.50元,9.5,热血，梦想，希望
鹿鼎记（全五册）,https://book.douban.com/subject/1212893/,金庸 , 广州出版社 花城出版社 , 2008-3 , 108.00元,8.8,武侠的解构，流氓的狂欢
你好，旧时光（上 下）,https://book.douban.com/subject/4166819/,八月长安 , 新世界出版社 , 2009-12 , 39.80元,8.8,原作名切题
时间旅行者的妻子,https://book.douban.com/subject/2056749/,[美] 奥德丽·尼芬格 , 人民文学出版社 , 2007-4 , 29.90元,8.1,在时间的缝隙中穿行，然后相遇
倚天屠龙记(共四册),https://book.douban.com/subject/1070851/,金庸 , 三联书店 , 1999-04 , 47.00,8.6,不识张郎是张郎
西游记（全二册）,https://book.douban.com/subject/1029553/,吴承恩 , 人民文学出版社 , 2004-8 , 47.20元,8.8,取经之路就在脚下
长恨歌,https://book.douban.com/subject/1082349/,王安忆 , 南海出版公司 , 2003-8 , 22.00元,8.2,现代上海史诗
狂人日记,https://book.douban.com/subject/1398395/,鲁迅 , 京华出版社 , 2006-3 , 39.80元,8.7,中国现代文学史上第一篇真正的现代白话小说
东霓,https://book.douban.com/subject/4874131/,笛安 , 长江文艺出版社 , 2010-7-1 , 26.80元,8.1,自毁而偏执的东霓
失恋33天,https://book.douban.com/subject/4238754/,鲍鲸鲸 , 中信出版社 , 2010-1 , 25.00元,8.1,失恋是一种病，痊愈之后百毒不侵
你一定爱读的极简欧洲史,https://book.douban.com/subject/5366248/,约翰·赫斯特（John Hirst） , 广西师范大学出版社 , 2011-11-25 , 25.00元,8.2,欧洲，为什么老是抢第一？
最好的我们,https://book.douban.com/subject/24754316/,八月长安 , 湖南文艺出版社 , 2013-8-5 , 55,8.8,耿耿余淮
伊豆的舞女,https://book.douban.com/subject/1005521/,[日] 川端康成 , 广西师范大学出版社 , 2002-2 , 23.80元,8.2,静美又残酷，无限柔软的川端
时间简史,https://book.douban.com/subject/1034282/,[英] 史蒂芬·霍金 , 湖南科学技术出版社 , 2010-4 , 45.00元,8.8,霍金与上帝的战争
瓦尔登湖,https://book.douban.com/subject/1865089/,[美] 梭罗 , 上海译文出版社 , 2006-8 , 11.00元,8.4,另一种生活
我与地坛,https://book.douban.com/subject/1209899/,史铁生 , 春风文艺出版社 , 2002-5 , 25.00元,9.0,这是你的罪孽与福祉
呼兰河传,https://book.douban.com/subject/1060852/,萧红 , 百花文艺出版社 , 2005-01 , 19.00,8.9,萧红的童年往事
历史深处的忧虑,https://book.douban.com/subject/1027191/,林达 , 生活·读书·新知三联书店 , 1997-5 , 19.00元,9.0,窥见美国社会的一扇窗
红与黑,https://book.douban.com/subject/1007433/,[法] 司汤达 , 人民文学出版社 , 2002 , 20.00元,8.2,阴谋与爱情
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 , 生活·读书·新知三联书店 , 2001 , 12.00元,9.1,一部简明的“中国政治制度史”
夏洛的网,https://book.douban.com/subject/1036274/,[美] E.B.怀特 , 上海译文出版社 , 2004-5 , 17.00元,8.6,猪与蜘蛛
陆犯焉识,https://book.douban.com/subject/6880158/,严歌苓 , 作家出版社 , 2011-10 , 35.00元,8.8,翻手为苍凉，覆手为繁华
一九八四·动物农场,https://book.douban.com/subject/1082387/,[英] 乔治·奥威尔 , 上海译文出版社 , 2003-4 , 23.00元,9.3,一个预言和一个寓言，令人窒息的政治恐怖
大地之灯,https://book.douban.com/subject/1963310/,七堇年 , 长江文艺出版社 , 2007-1 , 22.00元,8.2,两代人的成长与救赎
